Tanggal;IR-64 I
01 January 2022;10225
02 January 2022;10225
03 January 2022;10250
04 January 2022;10275
05 January 2022;10275
06 January 2022;10275
07 January 2022;10275
08 January 2022;10275
09 January 2022;10275
10 January 2022;10275
11 January 2022;10275
12 January 2022;10300
13 January 2022;10300
14 January 2022;10325
15 January 2022;10325
16 January 2022;10325
17 January 2022;10325
18 January 2022;10325
19 January 2022;10325
20 January 2022;10325
21 January 2022;10350
22 January 2022;10350
23 January 2022;10350
24 January 2022;10350
25 January 2022;10350
26 January 2022;10350
27 January 2022;10350
28 January 2022;10350
29 January 2022;10350
30 January 2022;10350
31 January 2022;10350
01 February 2022;10350
02 February 2022;10225
03 February 2022;10225
04 February 2022;10225
05 February 2022;10225
06 February 2022;10225
07 February 2022;10225
08 February 2022;10225
09 February 2022;10225
10 February 2022;10225
11 February 2022;10225
12 February 2022;10225
13 February 2022;10225
14 February 2022;10225
15 February 2022;10225
16 February 2022;10225
17 February 2022;10225
18 February 2022;10225
19 February 2022;10225
20 February 2022;10225
21 February 2022;10225
22 February 2022;10225
23 February 2022;10225
24 February 2022;10225
25 February 2022;10225
26 February 2022;10225
27 February 2022;10225
28 February 2022;10225
01 March 2022;10225
02 March 2022;10225
03 March 2022;10225
04 March 2022;10250
05 March 2022;10250
06 March 2022;10250
07 March 2022;10250
08 March 2022;10250
09 March 2022;10250
10 March 2022;10250
11 March 2022;10250
12 March 2022;10250
13 March 2022;10250
14 March 2022;10250
15 March 2022;10250
16 March 2022;10250
17 March 2022;10250
18 March 2022;10250
19 March 2022;10250
20 March 2022;10250
21 March 2022;10250
22 March 2022;10250
23 March 2022;10250
24 March 2022;10250
25 March 2022;10250
26 March 2022;10250
27 March 2022;10250
28 March 2022;10250
29 March 2022;10225
30 March 2022;10225
31 March 2022;10225
01 April 2022;10225
02 April 2022;10225
03 April 2022;10225
04 April 2022;10225
05 April 2022;10225
06 April 2022;10225
07 April 2022;10225
08 April 2022;10225
09 April 2022;10225
10 April 2022;10225
11 April 2022;10225
12 April 2022;10225
13 April 2022;10225
14 April 2022;10225
15 April 2022;10225
16 April 2022;10225
17 April 2022;10225
18 April 2022;10225
19 April 2022;10225
20 April 2022;10225
21 April 2022;10225
22 April 2022;10225
23 April 2022;10225
24 April 2022;10225
25 April 2022;10225
26 April 2022;10225
27 April 2022;10225
28 April 2022;10225
29 April 2022;10225
30 April 2022;10225
01 May 2022;10425
02 May 2022;10425
03 May 2022;10425
04 May 2022;10425
05 May 2022;10425
06 May 2022;10425
07 May 2022;10425
08 May 2022;10450
09 May 2022;10450
10 May 2022;10475
11 May 2022;10500
12 May 2022;10450
13 May 2022;10450
14 May 2022;10450
15 May 2022;10450
16 May 2022;10450
17 May 2022;10425
18 May 2022;10400
19 May 2022;10375
20 May 2022;10375
21 May 2022;10375
22 May 2022;10375
23 May 2022;10350
24 May 2022;10325
25 May 2022;10300
26 May 2022;10300
27 May 2022;10300
28 May 2022;10300
29 May 2022;10300
30 May 2022;10275
31 May 2022;10275
01 June 2022;10275
02 June 2022;10275
03 June 2022;10250
04 June 2022;10250
05 June 2022;10250
06 June 2022;10225
07 June 2022;10200
08 June 2022;10200
09 June 2022;10200
10 June 2022;10200
11 June 2022;10200
12 June 2022;10200
13 June 2022;10200
14 June 2022;10200
15 June 2022;10175
16 June 2022;10175
17 June 2022;10175
18 June 2022;10175
19 June 2022;10175
20 June 2022;10175
21 June 2022;10175
22 June 2022;10200
23 June 2022;10225
24 June 2022;10225
25 June 2022;10225
26 June 2022;10225
27 June 2022;10200
28 June 2022;10200
29 June 2022;10200
30 June 2022;10200
01 July 2022;10200
02 July 2022;10200
03 July 2022;10200
04 July 2022;10225
05 July 2022;10225
06 July 2022;10225
07 July 2022;10225
08 July 2022;10225
09 July 2022;10225
10 July 2022;10225
11 July 2022;10250
12 July 2022;10275
13 July 2022;10275
14 July 2022;10300
15 July 2022;10300
16 July 2022;10300
17 July 2022;10300
18 July 2022;10300
19 July 2022;10300
20 July 2022;10325
21 July 2022;10350
22 July 2022;10375
23 July 2022;10375
24 July 2022;10375
25 July 2022;10400
26 July 2022;10400
27 July 2022;10400
28 July 2022;10400
29 July 2022;10400
30 July 2022;10400
31 July 2022;10400
01 August 2022;10400
02 August 2022;10425
03 August 2022;10425
04 August 2022;10450
05 August 2022;10475
06 August 2022;10475
07 August 2022;10475
08 August 2022;10500
09 August 2022;10500
10 August 2022;10525
11 August 2022;10550
12 August 2022;10550
13 August 2022;10550
14 August 2022;10550
15 August 2022;10575
16 August 2022;10575
17 August 2022;10575
18 August 2022;10600
19 August 2022;10625
20 August 2022;10625
21 August 2022;10625
22 August 2022;10625
23 August 2022;10625
24 August 2022;10625
25 August 2022;10600
26 August 2022;10625
27 August 2022;10625
28 August 2022;10625
29 August 2022;10650
30 August 2022;10650
31 August 2022;10675
01 September 2022;10700
02 September 2022;10700
03 September 2022;10700
04 September 2022;10700
05 September 2022;10725
06 September 2022;10725
07 September 2022;10725
08 September 2022;10725
09 September 2022;10725
10 September 2022;10725
11 September 2022;10725
12 September 2022;10725
13 September 2022;10750
14 September 2022;10750
15 September 2022;10750
16 September 2022;10750
17 September 2022;10750
18 September 2022;10750
19 September 2022;10750
20 September 2022;10700
21 September 2022;10700
22 September 2022;10675
23 September 2022;10650
24 September 2022;10650
25 September 2022;10650
26 September 2022;10625
27 September 2022;10625
28 September 2022;10625
29 September 2022;10625
30 September 2022;10600
01 October 2022;10600
02 October 2022;10600
03 October 2022;10625
04 October 2022;10625
05 October 2022;10625
06 October 2022;10625
07 October 2022;10625
08 October 2022;10625
09 October 2022;10625
10 October 2022;10650
11 October 2022;10675
12 October 2022;10700
13 October 2022;10725
14 October 2022;10750
15 October 2022;10750
16 October 2022;10750
17 October 2022;10750
18 October 2022;10750
19 October 2022;10750
20 October 2022;10750
21 October 2022;10750
22 October 2022;10750
23 October 2022;10750
24 October 2022;10725
25 October 2022;10725
26 October 2022;10725
27 October 2022;10700
28 October 2022;10700
29 October 2022;10700
30 October 2022;10700
31 October 2022;10700
01 November 2022;10700
02 November 2022;10700
03 November 2022;10700
04 November 2022;10725
05 November 2022;10725
06 November 2022;10725
07 November 2022;10750
08 November 2022;10775
09 November 2022;10800
10 November 2022;10825
11 November 2022;10850
12 November 2022;10850
13 November 2022;10850
14 November 2022;10875
15 November 2022;10875
16 November 2022;10900
17 November 2022;10900
18 November 2022;10925
19 November 2022;10925
20 November 2022;10925
21 November 2022;10950
22 November 2022;10975
23 November 2022;10975
24 November 2022;10975
25 November 2022;11000
26 November 2022;11000
27 November 2022;11000
28 November 2022;11000
29 November 2022;11000
30 November 2022;11000
01 December 2022;11025
02 December 2022;11050
03 December 2022;11050
04 December 2022;11050
05 December 2022;11050
06 December 2022;11075
07 December 2022;11100
08 December 2022;11125
09 December 2022;11150
10 December 2022;11150
11 December 2022;11150
12 December 2022;11150
13 December 2022;11150
14 December 2022;11150
15 December 2022;11150
16 December 2022;11150
17 December 2022;11150
18 December 2022;11150
19 December 2022;11150
20 December 2022;11175
21 December 2022;11175
22 December 2022;11175
23 December 2022;11150
24 December 2022;11150
25 December 2022;11150
26 December 2022;11150
27 December 2022;11175
28 December 2022;11175
29 December 2022;11175
30 December 2022;11175
