Tanggal,IR-64 I
01-Jan-16,10000
02-Jan-16,10000
03-Jan-16,10000
04-Jan-16,10100
05-Jan-16,10200
06-Jan-16,10200
07-Jan-16,10200
08-Jan-16,10200
09-Jan-16,10200
10-Jan-16,10200
11-Jan-16,10300
12-Jan-16,10200
13-Jan-16,10200
14-Jan-16,10200
15-Jan-16,10200
16-Jan-16,10200
17-Jan-16,10200
18-Jan-16,10200
19-Jan-16,10200
20-Jan-16,10200
21-Jan-16,10200
22-Jan-16,10200
23-Jan-16,10200
24-Jan-16,10200
25-Jan-16,10300
26-Jan-16,10100
27-Jan-16,10100
28-Jan-16,10200
29-Jan-16,10000
30-Jan-16,10000
31-Jan-16,10000
01-Feb-16,10000
02-Feb-16,10100
03-Feb-16,10100
04-Feb-16,10100
05-Feb-16,10100
06-Feb-16,10100
07-Feb-16,10100
08-Feb-16,10100
09-Feb-16,10100
10-Feb-16,10100
11-Feb-16,10100
12-Feb-16,10000
13-Feb-16,10000
14-Feb-16,10000
15-Feb-16,10000
16-Feb-16,10000
17-Feb-16,10000
18-Feb-16,10000
19-Feb-16,10000
20-Feb-16,10000
21-Feb-16,10000
22-Feb-16,9950
23-Feb-16,9950
24-Feb-16,9950
25-Feb-16,10000
26-Feb-16,10000
27-Feb-16,10000
28-Feb-16,10000
29-Feb-16,10200
01-Mar-16,10300
02-Mar-16,10300
03-Mar-16,10300
04-Mar-16,10300
05-Mar-16,10300
06-Mar-16,10300
07-Mar-16,10400
08-Mar-16,10400
09-Mar-16,10400
10-Mar-16,10400
11-Mar-16,10400
12-Mar-16,10400
13-Mar-16,10400
14-Mar-16,10250
15-Mar-16,10200
16-Mar-16,10200
17-Mar-16,10200
18-Mar-16,10200
19-Mar-16,10200
20-Mar-16,10200
21-Mar-16,10200
22-Mar-16,10200
23-Mar-16,10000
24-Mar-16,10000
25-Mar-16,10000
26-Mar-16,10000
27-Mar-16,10000
28-Mar-16,10000
29-Mar-16,9900
30-Mar-16,9900
31-Mar-16,9900
01-Apr-16,9900
02-Apr-16,9900
03-Apr-16,9900
04-Apr-16,9900
05-Apr-16,9900
06-Apr-16,9900
07-Apr-16,9900
08-Apr-16,10000
09-Apr-16,10000
10-Apr-16,10000
11-Apr-16,10000
12-Apr-16,10000
13-Apr-16,10000
14-Apr-16,10000
15-Apr-16,10000
16-Apr-16,10000
17-Apr-16,10000
18-Apr-16,10000
19-Apr-16,9950
20-Apr-16,9950
21-Apr-16,9950
22-Apr-16,9950
23-Apr-16,9950
24-Apr-16,9950
25-Apr-16,9800
26-Apr-16,9800
27-Apr-16,9800
28-Apr-16,9800
29-Apr-16,9800
30-Apr-16,9800
01-May-16,9800
02-May-16,9800
03-May-16,9800
04-May-16,9800
05-May-16,9800
06-May-16,9800
07-May-16,9800
08-May-16,9800
09-May-16,9800
10-May-16,9800
11-May-16,9800
12-May-16,9800
13-May-16,9800
14-May-16,9800
15-May-16,9800
16-May-16,9900
17-May-16,10000
18-May-16,10000
19-May-16,10000
20-May-16,10000
21-May-16,10000
22-May-16,10000
23-May-16,10000
24-May-16,9900
25-May-16,9900
26-May-16,9900
27-May-16,9900
28-May-16,9900
29-May-16,9900
30-May-16,9700
31-May-16,9800
01-Jun-16,9800
02-Jun-16,9800
03-Jun-16,9800
04-Jun-16,9800
05-Jun-16,9800
06-Jun-16,9800
07-Jun-16,9500
08-Jun-16,9500
09-Jun-16,9500
10-Jun-16,9500
11-Jun-16,9500
12-Jun-16,9500
13-Jun-16,9500
14-Jun-16,9500
15-Jun-16,9500
16-Jun-16,9500
17-Jun-16,9500
18-Jun-16,9500
19-Jun-16,9500
20-Jun-16,9500
21-Jun-16,9500
22-Jun-16,9650
23-Jun-16,9650
24-Jun-16,9650
25-Jun-16,9650
26-Jun-16,9650
27-Jun-16,9700
28-Jun-16,9700
29-Jun-16,9750
30-Jun-16,10000
01-Jul-16,10000
02-Jul-16,10000
03-Jul-16,10000
04-Jul-16,10000
05-Jul-16,10000
06-Jul-16,10000
07-Jul-16,10000
08-Jul-16,10000
09-Jul-16,10000
10-Jul-16,10000
11-Jul-16,10000
12-Jul-16,10000
13-Jul-16,9800
14-Jul-16,9800
15-Jul-16,9800
16-Jul-16,9800
17-Jul-16,9800
18-Jul-16,9800
19-Jul-16,9800
20-Jul-16,9800
21-Jul-16,9800
22-Jul-16,9800
23-Jul-16,9800
24-Jul-16,9800
25-Jul-16,9800
26-Jul-16,9900
27-Jul-16,9900
28-Jul-16,9900
29-Jul-16,9900
30-Jul-16,9900
31-Jul-16,9900
01-Aug-16,10000
02-Aug-16,9850
03-Aug-16,9800
04-Aug-16,9800
05-Aug-16,9800
06-Aug-16,9800
07-Aug-16,9800
08-Aug-16,9900
09-Aug-16,10000
10-Aug-16,10000
11-Aug-16,10000
12-Aug-16,10000
13-Aug-16,10000
14-Aug-16,10000
15-Aug-16,10000
16-Aug-16,10000
17-Aug-16,10000
18-Aug-16,10000
19-Aug-16,10000
20-Aug-16,10000
21-Aug-16,10000
22-Aug-16,10000
23-Aug-16,9850
24-Aug-16,9900
25-Aug-16,10000
26-Aug-16,10000
27-Aug-16,10000
28-Aug-16,10000
29-Aug-16,10100
30-Aug-16,10100
31-Aug-16,10100
01-Sep-16,10100
02-Sep-16,10100
03-Sep-16,10100
04-Sep-16,10100
05-Sep-16,10100
06-Sep-16,10000
07-Sep-16,10000
08-Sep-16,10000
09-Sep-16,10000
10-Sep-16,10000
11-Sep-16,10000
12-Sep-16,10000
13-Sep-16,10000
14-Sep-16,10000
15-Sep-16,10000
16-Sep-16,10000
17-Sep-16,10000
18-Sep-16,10000
19-Sep-16,10000
20-Sep-16,10000
21-Sep-16,10000
22-Sep-16,10000
23-Sep-16,10000
24-Sep-16,10000
25-Sep-16,10000
26-Sep-16,10000
27-Sep-16,10000
28-Sep-16,10000
29-Sep-16,10000
30-Sep-16,10000
01-Oct-16,10000
02-Oct-16,10000
03-Oct-16,10000
04-Oct-16,10000
05-Oct-16,10000
06-Oct-16,10000
07-Oct-16,10000
08-Oct-16,10000
09-Oct-16,10000
10-Oct-16,10000
11-Oct-16,10000
12-Oct-16,10000
13-Oct-16,10000
14-Oct-16,10000
15-Oct-16,10000
16-Oct-16,10000
17-Oct-16,10000
18-Oct-16,10000
19-Oct-16,10000
20-Oct-16,10000
21-Oct-16,10000
22-Oct-16,10000
23-Oct-16,10000
24-Oct-16,10000
25-Oct-16,10000
26-Oct-16,10000
27-Oct-16,10000
28-Oct-16,10000
29-Oct-16,10000
30-Oct-16,10000
31-Oct-16,10000
01-Nov-16,9900
02-Nov-16,9900
03-Nov-16,9900
04-Nov-16,9900
05-Nov-16,9900
06-Nov-16,9900
07-Nov-16,9900
