Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10218.613
2022-01-02,10225,10218.464
2022-01-03,10250,10218.199
2022-01-04,10275,10239.152
2022-01-05,10275,10264.212
2022-01-06,10275,10268.634
2022-01-07,10275,10269.053
2022-01-08,10275,10268.751
2022-01-09,10275,10268.309
2022-01-10,10275,10267.885
2022-01-11,10275,10267.525
2022-01-12,10300,10267.237
2022-01-13,10300,10288.35
2022-01-14,10325,10292.147
2022-01-15,10325,10313.968
2022-01-16,10325,10317.789
2022-01-17,10325,10318.093
2022-01-18,10325,10317.803
2022-01-19,10325,10317.409
2022-01-20,10325,10317.036
2022-01-21,10350,10316.723
2022-01-22,10350,10337.93
2022-01-23,10350,10341.658
2022-01-24,10350,10342.043
2022-01-25,10350,10341.883
2022-01-26,10350,10341.61
2022-01-27,10350,10341.34
2022-01-28,10350,10341.106
2022-01-29,10350,10340.918
2022-01-30,10350,10340.768
2022-01-31,10350,10340.65
2022-02-01,10350,10340.557
2022-02-02,10225,10340.484
2022-02-03,10225,10233.057
2022-02-04,10225,10213.728
2022-02-05,10225,10211.013
2022-02-06,10225,10211.182
2022-02-07,10225,10212.027
2022-02-08,10225,10212.969
2022-02-09,10225,10213.803
2022-02-10,10225,10214.483
2022-02-11,10225,10215.022
2022-02-12,10225,10215.444
2022-02-13,10225,10215.772
2022-02-14,10225,10216.028
2022-02-15,10225,10216.227
2022-02-16,10225,10216.382
2022-02-17,10225,10216.501
2022-02-18,10225,10216.593
2022-02-19,10225,10216.665
2022-02-20,10225,10216.72
2022-02-21,10225,10216.764
2022-02-22,10225,10216.797
2022-02-23,10225,10216.822
2022-02-24,10225,10216.842
2022-02-25,10225,10216.856
2022-02-26,10225,10216.868
2022-02-27,10225,10216.876
2022-02-28,10225,10216.883
2022-03-01,10225,10216.888
2022-03-02,10225,10216.892
2022-03-03,10225,10216.895
2022-03-04,10250,10216.8955
2022-03-05,10250,10238.116
2022-03-06,10250,10242.136
2022-03-07,10250,10242.725
2022-03-08,10250,10242.702
2022-03-09,10250,10242.537
2022-03-10,10250,10242.35
2022-03-11,10250,10242.182
2022-03-12,10250,10242.045
2022-03-13,10250,10241.9375
2022-03-14,10250,10241.852
2022-03-15,10250,10241.785
2022-03-16,10250,10241.733
2022-03-17,10250,10241.693
2022-03-18,10250,10241.662
2022-03-19,10250,10241.638
2022-03-20,10250,10241.618
2022-03-21,10250,10241.604
2022-03-22,10250,10241.593
2022-03-23,10250,10241.583
2022-03-24,10250,10241.576
2022-03-25,10250,10241.571
2022-03-26,10250,10241.567
2022-03-27,10250,10241.564
2022-03-28,10250,10241.5625
2022-03-29,10225,10241.56
2022-03-30,10225,10220.293
2022-03-31,10225,10216.3125
2022-04-01,10225,10215.732
2022-04-02,10225,10215.757
2022-04-03,10225,10215.923
2022-04-04,10225,10216.111
2022-04-05,10225,10216.277
2022-04-06,10225,10216.414
2022-04-07,10225,10216.521
2022-04-08,10225,10216.605
2022-04-09,10225,10216.672
2022-04-10,10225,10216.723
2022-04-11,10225,10216.763
2022-04-12,10225,10216.794
2022-04-13,10225,10216.817
2022-04-14,10225,10216.836
2022-04-15,10225,10216.85
2022-04-16,10225,10216.861
2022-04-17,10225,10216.869
2022-04-18,10225,10216.876
2022-04-19,10225,10216.882
2022-04-20,10225,10216.886
2022-04-21,10225,10216.889
2022-04-22,10225,10216.891
2022-04-23,10225,10216.892
2022-04-24,10225,10216.894
2022-04-25,10225,10216.895
