Tanggal;Cianjur Kepala;Cianjur Slyp;Sentra Ramos;Saigon;Muncul I;Muncul II;Muncul III;IR-64 I;IR-64 II;IR-64 III;IR-42;Ketan Putih Lokal;Ketan Putih (Paris);Ketan Hitam
01 January 2016;13000;12000;12300;10800;10800;9800;9100;10000;9300;8700;10000;15000;20000;16300
02 January 2016;13000;12000;12300;10800;10800;9800;9100;10000;9300;8700;10000;15000;20000;16300
03 January 2016;13000;12000;12300;10800;10800;9800;9100;10000;9300;8700;10000;15000;20000;16300
04 January 2016;13000;12000;12300;10800;10800;9800;9100;10100;9400;8800;10200;15000;20000;16300
05 January 2016;13300;12300;12500;11000;10800;9800;9100;10200;9500;8800;10400;15000;20000;16300
06 January 2016;13300;12300;12500;11000;10800;9800;9100;10200;9500;8800;10400;15000;20000;16300
07 January 2016;13200;12400;12600;11100;10800;9800;9100;10200;9600;8900;10500;15000;20000;16300
08 January 2016;13200;12400;12600;11100;10800;9800;9100;10200;9600;9000;10500;15000;20000;16300
09 January 2016;13200;12400;12600;11100;10800;9800;9100;10200;9600;9000;10500;15000;20000;16300
10 January 2016;13200;12400;12600;11100;10800;9800;9100;10200;9600;9000;10500;15000;20000;16300
11 January 2016;13200;12400;12600;11400;11000;10000;9300;10300;9600;9000;10800;15000;20000;16000
12 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9500;8900;10800;15000;20000;16000
13 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9500;8900;10800;15000;20000;16000
14 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9600;8900;10800;15000;20000;16000
15 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9600;8800;10800;15000;20000;16000
16 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9600;8800;10800;15000;20000;16000
17 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9600;8800;10800;15000;20000;16000
18 January 2016;13500;12400;12600;11400;11000;10000;9300;10200;9500;8600;10800;15000;20000;16000
19 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8600;10800;15500;21000;16500
20 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8600;10800;15500;21000;16500
21 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8500;10800;15500;21000;16500
22 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8500;10800;15500;21000;16500
23 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8500;10800;15500;21000;16500
24 January 2016;13500;12400;12400;11400;11200;10200;9300;10200;9500;8500;10800;15500;21000;16500
25 January 2016;13500;12400;12400;11400;11200;10200;9300;10300;9600;8300;10800;15500;21000;16500
